Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/30/2020 	_x86_64_	(48 CPU)

10:20:58 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:24:00 PM       0     15.29      0.00     43.53      0.00      0.00     41.18
10:24:01 PM       0     15.31      0.00     50.00      0.00      0.00     34.69
10:24:02 PM       0     17.48      0.00     49.51      0.00      0.00     33.01
10:24:03 PM       0     18.69      0.00     49.53      0.00      0.00     31.78
10:24:04 PM       0     16.48      0.00     46.15      0.00      0.00     37.36
10:24:05 PM       0     17.31      0.00     49.04      0.00      0.00     33.65
10:24:06 PM       0     16.67      0.00     50.00      0.00      0.00     33.33
10:24:07 PM       0     14.61      0.00     47.19      0.00      0.00     38.20
10:24:08 PM       0     18.27      0.00     49.04      0.00      0.00     32.69
10:24:09 PM       0     13.98      0.00     48.39      0.00      0.00     37.63
10:24:10 PM       0     18.27      0.00     49.04      0.00      0.00     32.69
10:24:11 PM       0     18.80      0.00     52.14      0.00      0.00     29.06
10:24:12 PM       0     16.96      0.00     52.68      0.00      0.00     30.36
10:24:13 PM       0     15.00      0.00     50.00      0.00      0.00     35.00
10:24:14 PM       0     17.00      0.00     49.00      0.00      0.00     34.00
10:24:15 PM       0     15.62      0.00     48.96      0.00      0.00     35.42
10:24:16 PM       0     13.27      0.00     52.04      0.00      0.00     34.69
10:24:17 PM       0     16.67      0.00     50.00      0.00      0.00     33.33
10:24:18 PM       0     16.30      0.00     46.74      0.00      0.00     36.96
10:24:19 PM       0     15.31      0.00     48.98      0.00      0.00     35.71
10:24:20 PM       0     16.05      0.00     41.98      0.00      0.00     41.98
10:24:21 PM       0     16.82      0.00     51.40      0.00      0.00     31.78
10:24:22 PM       0     17.14      0.00     49.52      0.00      0.00     33.33
10:24:23 PM       0     17.65      0.00     49.02      0.00      0.00     33.33
10:24:24 PM       0     14.89      0.00     48.94      0.00      0.00     36.17
10:24:25 PM       0     17.31      0.00     50.00      0.00      0.00     32.69
10:24:26 PM       0     13.25      0.00     44.58      0.00      0.00     42.17
10:24:27 PM       0     16.67      0.00     50.98      0.00      0.00     32.35
10:24:28 PM       0     16.16      0.00     49.49      0.00      0.00     34.34
10:24:29 PM       0     16.83      0.00     50.50      0.00      0.00     32.67
10:24:30 PM       0     16.33      0.00     48.98      0.00      0.00     34.69
10:24:31 PM       0     14.85      0.00     52.48      0.00      0.00     32.67
10:24:32 PM       0     16.83      0.00     49.50      0.00      0.00     33.66
10:24:33 PM       0     18.28      0.00     45.16      0.00      0.00     36.56
10:24:34 PM       0     15.00      0.00     52.00      0.00      0.00     33.00
10:24:35 PM       0     15.79      0.00     48.42      0.00      0.00     35.79
10:24:36 PM       0     16.83      0.00     50.50      0.00      0.00     32.67
10:24:37 PM       0     18.37      0.00     47.96      0.00      0.00     33.67
10:24:38 PM       0     17.17      0.00     48.48      0.00      0.00     34.34
10:24:39 PM       0     17.35      0.00     48.98      0.00      0.00     33.67
10:24:40 PM       0     15.62      0.00     48.96      0.00      0.00     35.42
10:24:41 PM       0     16.67      0.00     48.96      0.00      0.00     34.38
10:24:42 PM       0     17.48      0.00     50.49      0.00      0.00     32.04
10:24:43 PM       0     17.02      0.00     46.81      0.00      0.00     36.17
10:24:44 PM       0     15.15      0.00     51.52      0.00      0.00     33.33
10:24:45 PM       0     16.00      0.00     51.00      0.00      0.00     33.00
10:24:46 PM       0     15.46      0.00     50.52      0.00      0.00     34.02
10:24:47 PM       0     19.42      0.00     47.57      0.00      0.00     33.01
10:24:48 PM       0     14.29      0.00     52.04      0.00      0.00     33.67
10:24:49 PM       0     15.15      0.00     51.52      0.00      0.00     33.33
10:24:50 PM       0     18.27      0.00     50.00      0.00      0.00     31.73
10:24:51 PM       0     15.69      0.00     51.96      0.00      0.00     32.35
10:24:52 PM       0     16.67      0.00     48.96      0.00      0.00     34.38
10:24:53 PM       0     17.14      0.00     51.43      0.00      0.00     31.43
10:24:54 PM       0     16.00      0.00     50.00      0.00      0.00     34.00
10:24:55 PM       0     15.00      0.00     52.00      0.00      0.00     33.00
10:24:56 PM       0     15.31      0.00     50.00      0.00      0.00     34.69
10:24:57 PM       0     18.37      0.00     47.96      0.00      0.00     33.67
10:24:58 PM       0     15.69      0.00     50.98      0.00      0.00     33.33
10:24:59 PM       0     15.31      0.00     51.02      0.00      0.00     33.67
10:25:00 PM       0     16.33      0.00     50.00      0.00      0.00     33.67
10:25:01 PM       0     16.00      0.00     50.00      0.00      0.00     34.00
10:25:02 PM       0     13.40      0.00     52.58      0.00      0.00     34.02
10:25:03 PM       0     16.84      0.00     48.42      0.00      0.00     34.74
10:25:04 PM       0     15.15      0.00     50.51      0.00      0.00     34.34
10:25:05 PM       0     16.49      0.00     49.48      0.00      0.00     34.02
10:25:06 PM       0     17.48      0.00     49.51      0.00      0.00     33.01
10:25:07 PM       0     18.10      0.00     50.48      0.00      0.00     31.43
10:25:08 PM       0     15.38      0.00     51.92      0.00      0.00     32.69
10:25:09 PM       0     17.02      0.00     47.87      0.00      0.00     35.11
10:25:10 PM       0     14.58      0.00     47.92      0.00      0.00     37.50
10:25:11 PM       0      4.26      0.00     13.83      0.00      0.00     81.91
10:25:12 PM       0      1.00      0.00      1.00      0.00      0.00     98.00
10:25:13 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:25:14 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:25:15 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:25:16 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:25:17 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:25:18 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:25:19 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:25:20 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:25:21 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:25:22 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:25:23 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:25:24 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:25:25 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:25:26 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:25:27 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:25:28 PM       0      0.00      0.00      0.00      0.00      0.00    100.00


10:25:29 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
Average:          0     17.49      0.00     43.09      0.00      0.00     39.42
