CPU: Intel Skylake microarchitecture, speed 2.701e+06 MHz (estimated)
Counted cpu_clk_unhalted events () with a unit mask of 0x00 (Core cycles when at least one thread on the physical core is not in halt state) count 2100000
samples  %        image name               app name                 symbol name
154       0.0270  server                   server                   tbb::atomic<unsigned long>::operator=(unsigned long)
154       0.0270  server                   server                   tbb::strict_ppl::internal::concurrent_queue_rep<queue_task>::index(unsigned long)
153       0.0268  libjemalloc.so.2         libjemalloc.so.2         extent_split_impl.isra.68
153       0.0268  server                   server                   tbb::spin_mutex::scoped_lock::scoped_lock(tbb::spin_mutex&)
152       0.0266  server                   server                   tbb::internal::atomic_impl<tbb::strict_ppl::internal::concurrent_queue_rep_base::page*>::ptr_converter<tbb::strict_ppl::internal::concurrent_queue_rep_base::page* const volatile*>::ptr_converter(tbb::strict_ppl::internal::concurrent_queue_rep_base::page* const volatile*)
149       0.0261  server                   server                   void tbb::internal::__TBB_store_with_release<unsigned char, int>(unsigned char volatile&, int)
148       0.0259  server                   server                   __gthread_mutex_unlock(pthread_mutex_t*)
147       0.0258  server                   server                   unsigned long tbb::internal::atomic_impl_with_arithmetic<unsigned long, unsigned long, char>::fetch_and_add<(tbb::memory_semantics)0>(unsigned long)
143       0.0251  server                   server                   tbb::strict_ppl::internal::concurrent_queue_base_v3<queue_task>::deallocate_page(tbb::strict_ppl::internal::concurrent_queue_rep_base::page*)
142       0.0249  server                   server                   tbb::internal::atomic_impl_with_arithmetic<unsigned long, unsigned long, char>::fetch_and_add(unsigned long)
140       0.0245  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    evbuffer_remove
137       0.0240  server                   server                   void tbb::internal::itt_store_word_with_release<unsigned long, unsigned long>(tbb::atomic<unsigned long>&, unsigned long)
134       0.0235  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    bufferevent_decrement_write_buckets_
134       0.0235  server                   server                   tbb::internal::atomic_traits<8ul, (tbb::memory_semantics)0>::compare_and_swap(void volatile*, long, long)
