Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/30/2020 	_x86_64_	(48 CPU)

10:14:05 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:17:48 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:49 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:50 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:51 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:52 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:53 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:54 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:55 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:56 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:57 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:58 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:17:59 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:00 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:01 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:02 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:03 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:04 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:05 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:06 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:07 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:08 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:09 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:10 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:11 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:12 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:13 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:14 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:15 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:16 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:17 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:18 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:19 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:20 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:21 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:22 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:23 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:24 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:25 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:26 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:27 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:28 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:29 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:30 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:31 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:32 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:33 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:34 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:35 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:36 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:37 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:38 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:39 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:40 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:41 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:42 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:43 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:44 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:45 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:46 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:47 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:48 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:49 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:50 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:51 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:52 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:53 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:54 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:55 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
10:18:56 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
